tls_version,run_index,file_size,host,port,ciphers_requested,cert_file,key_file,cert_size_bytes,key_size_bytes,handshake_time_ms,negotiated_tls_version,negotiated_cipher,bytes_received,per_recv_call_time_ms,decrypt_time_ms,bytes_sent,encrypt_time_ms,transfer_duration_ms,throughput_bytes_per_sec,success
1.3,1,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.232399937696755,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.2839999506250024, 0.026900088414549828, 0.020900042727589607, 0.018200022168457508, 0.015300000086426735, 0.02159993164241314, 0.0198000343516469, 0.0171000137925148, 0.02159993164241314, 0.018400023691356182, 0.01780001912266016, 0.016700010746717453, 0.016900012269616127, 0.01680001150816679, 0.04740001168102026, 0.028900103643536568, 0.019099912606179714, 0.017900019884109497, 0.016900012269616127, 0.014299992471933365, 0.01910002902150154, 0.016700010746717453, 0.0195999164134264, 0.01680001150816679, 0.013999990187585354, 0.01810002140700817, 0.019200029782950878, 0.020099920220673084, 0.019200029782950878, 0.01379998866468668, 0.019600032828748226, 0.016700010746717453, 0.017300015315413475, 0.020099920220673084, 0.03520003519952297, 0.020900042727589607, 0.017499900422990322, 0.017300015315413475, 0.016600009985268116, 0.014299992471933365, 0.02050003968179226, 0.017000013031065464, 0.01650000922381878, 0.018799910321831703, 0.01379998866468668, 0.021300045773386955, 0.020200037397444248, 0.01719989813864231, 0.0171000137925148, 0.017000013031065464, 0.04249997437000275, 0.026900088414549828, 0.018499908037483692, 0.0198000343516469, 0.029799994081258774, 0.02210005186498165, 0.0271000899374485, 0.025799963623285294, 0.02359994687139988, 0.02210005186498165, 0.010899966582655907, 0.012599979527294636, 0.011800089851021767, 0.012299977242946625]",1.8792999908328056,1048576,0.977099989540875,2.864800044335425,366020658.95431393,True
1.3,2,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.377699996344745,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.30399998649954796, 0.0241999514400959, 0.021700048819184303, 0.011299969628453255, 0.013199984095990658, 0.016400008462369442, 0.03160000778734684, 0.013499986380338669, 0.02619996666908264, 0.017300015315413475, 0.017200014553964138, 0.024399952962994576, 0.017600017599761486, 0.02459995448589325, 0.0252000754699111, 0.02729997504502535, 0.0222999369725585, 0.017400016076862812, 0.02729997504502535, 0.017600017599761486, 0.01680001150816679, 0.022000051103532314, 0.024699955247342587, 0.02489995677024126, 0.020000035874545574, 0.02359994687139988, 0.02180004958063364, 0.022300053387880325, 0.022699940018355846, 0.023300061002373695, 0.022900057956576347, 0.02220005262643099, 0.022300053387880325, 0.022300053387880325, 0.024400069378316402, 0.022999942302703857, 0.02680008765310049, 0.015199999324977398, 0.018399907276034355, 0.02580008003860712, 0.019799917936325073, 0.01200009137392044, 0.02580008003860712, 0.016600009985268116, 0.029199989512562752, 0.018000020645558834, 0.015600002370774746, 0.017499900422990322, 0.02650008536875248, 0.022999942302703857, 0.019600032828748226, 0.013999990187585354, 0.031200004741549492, 0.013999990187585354, 0.026099965907633305, 0.014599994756281376, 0.024300068616867065, 0.02289994154125452, 0.01279998105019331, 0.012199976481497288, 0.019000028260052204, 0.013299984857439995, 0.01209997572004795, 0.01170008908957243]",1.8898999551311135,1048576,1.3222999405115843,3.220299957320094,325614388.0685624,True
1.3,3,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.577200002036989,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.30070007778704166, 0.01950003206729889, 0.022400054149329662, 0.025999965146183968, 0.014499993994832039, 0.018600025214254856, 0.019999919459223747, 0.01910002902150154, 0.017000013031065464, 0.01409999094903469, 0.030800001695752144, 0.020399922505021095, 0.017000013031065464, 0.016900012269616127, 0.016600009985268116, 0.01750001683831215, 0.01680001150816679, 0.01880002673715353, 0.01659989356994629, 0.022400054149329662, 0.022799940779805183, 0.017000013031065464, 0.020400038920342922, 0.01680001150816679, 0.01910002902150154, 0.02159993164241314, 0.02829998265951872, 0.02550007775425911, 0.02519995905458927, 0.024099950678646564, 0.031200004741549492, 0.019900035113096237, 0.017200014553964138, 0.017300015315413475, 0.019499915651977062, 0.014299992471933365, 0.018300022929906845, 0.0171000137925148, 0.01680001150816679, 0.01810002140700817, 0.017699901945888996, 0.017200014553964138, 0.019600032828748226, 0.020000035874545574, 0.01650000922381878, 0.024399952962994576, 0.022399937734007835, 0.016900012269616127, 0.017000013031065464, 0.016600009985268116, 0.023700064048171043, 0.01880002673715353, 0.017400016076862812, 0.016900012269616127, 0.023399945348501205, 0.02180004958063364, 0.01910002902150154, 0.017200014553964138, 0.021699932403862476, 0.017000013031065464, 0.022399937734007835, 0.018900027498602867, 0.016900012269616127, 0.019700033590197563]",1.9483000505715609,1048576,1.1078000534325838,3.064400050789118,342179866.40810156,True
1.3,4,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.669500006362796,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.24890003260225058, 0.028799986466765404, 0.015500001609325409, 0.0127000967040658, 0.01400010660290718, 0.01619989052414894, 0.012800097465515137, 0.014499993994832039, 0.02729997504502535, 0.022099935449659824, 0.019000028260052204, 0.015099998563528061, 0.014899997040629387, 0.016200006939470768, 0.012199976481497288, 0.015400000847876072, 0.015600002370774746, 0.01209997572004795, 0.012500095181167126, 0.012199976481497288, 0.01479999627918005, 0.012199976481497288, 0.01209997572004795, 0.014899997040629387, 0.010399962775409222, 0.017000013031065464, 0.016400008462369442, 0.01409999094903469, 0.011800089851021767, 0.012499978765845299, 0.017700018361210823, 0.014499993994832039, 0.015600002370774746, 0.020200037397444248, 0.014199991710484028, 0.012699980288743973, 0.01409999094903469, 0.012200092896819115, 0.014599994756281376, 0.010399962775409222, 0.016400008462369442, 0.01179997343569994, 0.017000013031065464, 0.018400023691356182, 0.010599964298307896, 0.0171000137925148, 0.016700010746717453, 0.01650000922381878, 0.014299992471933365, 0.012199976481497288, 0.019000028260052204, 0.01379998866468668, 0.019799917936325073, 0.018600025214254856, 0.011299969628453255, 0.024700071662664413, 0.018000020645558834, 0.013399985618889332, 0.016600009985268116, 0.012899981811642647, 0.012599979527294636, 0.013399985618889332, 0.011899974197149277, 0.01209997572004795]",1.5154000138863921,1048576,0.9491000091657043,2.47269996907562,424061153.03669196,True
1.3,5,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.793899905867875,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.2733999863266945, 0.020200037397444248, 0.014499993994832039, 0.042199972085654736, 0.016400008462369442, 0.08279993198812008, 0.04610000178217888, 0.025300076231360435, 0.023700064048171043, 0.022999942302703857, 0.032400013878941536, 0.015099998563528061, 0.01279998105019331, 0.037400051951408386, 0.023999949917197227, 0.022700056433677673, 0.024499953724443913, 0.021600048057734966, 0.020499923266470432, 0.014699995517730713, 0.03350002225488424, 0.011599971912801266, 0.02050003968179226, 0.025499961338937283, 0.023400061763823032, 0.016200006939470768, 0.03250001464039087, 0.014399993233382702, 0.018099904991686344, 0.028700102120637894, 0.025900080800056458, 0.018600025214254856, 0.02629996743053198, 0.02189993392676115, 0.02280005719512701, 0.01989991869777441, 0.016400008462369442, 0.013399985618889332, 0.012600095942616463, 0.01479999627918005, 0.012299977242946625, 0.014499993994832039, 0.013399985618889332, 0.012599979527294636, 0.016900012269616127, 0.012599979527294636, 0.014399993233382702, 0.013599987141788006, 0.013699987903237343, 0.012500095181167126, 0.02219993621110916, 0.011199968867003918, 0.01409999094903469, 0.012500095181167126, 0.012299977242946625, 0.01179997343569994, 0.013999990187585354, 0.017600017599761486, 0.012999982573091984, 0.012299977242946625, 0.013499986380338669, 0.015099998563528061, 0.013999990187585354, 0.012600095942616463]",1.8566000508144498,1048576,1.0082999942824244,2.87279998883605,365001393.7882405,True
1.3,6,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,9.40680003259331,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.3208999987691641, 0.03520003519952297, 0.024699955247342587, 0.02150004729628563, 0.01759990118443966, 0.01100008375942707, 0.027699978090822697, 0.014299992471933365, 0.022799940779805183, 0.030099996365606785, 0.022600055672228336, 0.028099981136620045, 0.016000005416572094, 0.029199989512562752, 0.016300007700920105, 0.02989999484270811, 0.018600025214254856, 0.014899997040629387, 0.01279998105019331, 0.012899981811642647, 0.010599964298307896, 0.013399985618889332, 0.012800097465515137, 0.012699980288743973, 0.011999974958598614, 0.015099998563528061, 0.01379998866468668, 0.012599979527294636, 0.016400008462369442, 0.017900019884109497, 0.013699987903237343, 0.013299984857439995, 0.015099998563528061, 0.015500001609325409, 0.011999974958598614, 0.017300015315413475, 0.012999982573091984, 0.012299977242946625, 0.012200092896819115, 0.022699940018355846, 0.015300000086426735, 0.013699987903237343, 0.012499978765845299, 0.01279998105019331, 0.013999990187585354, 0.014899997040629387, 0.014500110410153866, 0.012499978765845299, 0.013499986380338669, 0.013599987141788006, 0.017200014553964138, 0.013599987141788006, 0.012699980288743973, 0.012999982573091984, 0.013399985618889332, 0.015300000086426735, 0.013599987141788006, 0.013399985618889332, 0.013400102034211159, 0.02489995677024126, 0.013899989426136017, 0.017400016076862812, 0.0171000137925148, 0.017600017599761486]",1.6836000140756369,1048576,0.9719999507069588,2.664600033313036,393520973.8387081,True
1.3,7,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.95019993185997,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.2731999848037958, 0.023799948394298553, 0.020900042727589607, 0.01919991336762905, 0.018300022929906845, 0.017000013031065464, 0.016900012269616127, 0.055699958465993404, 0.02819998189806938, 0.016000005416572094, 0.01950003206729889, 0.017700018361210823, 0.017000013031065464, 0.016700010746717453, 0.01409999094903469, 0.017299898900091648, 0.01680001150816679, 0.02050003968179226, 0.017600017599761486, 0.03360002301633358, 0.021400046534836292, 0.017600017599761486, 0.01750001683831215, 0.017000013031065464, 0.014199991710484028, 0.01819990575313568, 0.017200014553964138, 0.0171000137925148, 0.016900012269616127, 0.03250001464039087, 0.020699924789369106, 0.016900012269616127, 0.016900012269616127, 0.031000003218650818, 0.016300007700920105, 0.018900027498602867, 0.0171000137925148, 0.01680001150816679, 0.019699917174875736, 0.07930002175271511, 0.02329994458705187, 0.017600017599761486, 0.017400016076862812, 0.018400023691356182, 0.014199991710484028, 0.017300015315413475, 0.016700010746717453, 0.016400008462369442, 0.016400008462369442, 0.013800105080008507, 0.018400023691356182, 0.025000073947012424, 0.025099958293139935, 0.024799956008791924, 0.021200045011937618, 0.02619996666908264, 0.019400031305849552, 0.016600009985268116, 0.01680001150816679, 0.013599987141788006, 0.017399899661540985, 0.016400008462369442, 0.01650000922381878, 0.016700010746717453]",1.9798000575974584,1048576,0.9591999696567655,2.9474999755620956,355750978.35243714,True
1.3,8,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.528500096872449,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.22909999825060368, 0.02150004729628563, 0.015099998563528061, 0.01309998333454132, 0.012299977242946625, 0.01109996810555458, 0.012800097465515137, 0.012499978765845299, 0.011999974958598614, 0.01279998105019331, 0.01209997572004795, 0.010400079190731049, 0.01279998105019331, 0.012399978004395962, 0.01179997343569994, 0.011899974197149277, 0.02750009298324585, 0.015600002370774746, 0.02580008003860712, 0.02259993925690651, 0.023900065571069717, 0.02329994458705187, 0.023600063286721706, 0.02189993392676115, 0.02320006024092436, 0.02350006252527237, 0.024399952962994576, 0.016700010746717453, 0.03330002073198557, 0.013199984095990658, 0.021700048819184303, 0.026799971237778664, 0.014299992471933365, 0.023399945348501205, 0.023000058718025684, 0.022999942302703857, 0.03090000245720148, 0.014599994756281376, 0.012699980288743973, 0.02850010059773922, 0.013699987903237343, 0.02659996971487999, 0.02219993621110916, 0.022500054910779, 0.022699940018355846, 0.023000058718025684, 0.031000003218650818, 0.013699987903237343, 0.02129992935806513, 0.023000058718025684, 0.026399968191981316, 0.022400054149329662, 0.014299992471933365, 0.033499905839562416, 0.013200100511312485, 0.014299992471933365, 0.026899971999228, 0.014299992471933365, 0.028999987989664078, 0.013599987141788006, 0.02829998265951872, 0.021000043489038944, 0.022699940018355846, 0.012999982573091984]",1.7764999065548182,1048576,0.9030000073835254,2.686699968762696,390283996.05144596,True
1.3,9,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.773299981839955,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.27160008903592825, 0.022900057956576347, 0.015900004655122757, 0.01379998866468668, 0.027399975806474686, 0.031200004741549492, 0.014399993233382702, 0.01209997572004795, 0.030199997127056122, 0.01610000617802143, 0.013899989426136017, 0.02619996666908264, 0.016000005416572094, 0.025400076992809772, 0.02359994687139988, 0.02319994382560253, 0.021900050342082977, 0.02359994687139988, 0.022600055672228336, 0.023699947632849216, 0.022900057956576347, 0.021699932403862476, 0.02420006785541773, 0.022699940018355846, 0.023300061002373695, 0.015600002370774746, 0.025699962861835957, 0.022999942302703857, 0.017600017599761486, 0.026300083845853806, 0.028400099836289883, 0.015400000847876072, 0.025499961338937283, 0.022099935449659824, 0.02310005947947502, 0.022699940018355846, 0.02180004958063364, 0.02329994458705187, 0.02210005186498165, 0.022799940779805183, 0.02350006252527237, 0.013999990187585354, 0.02529995981603861, 0.02320006024092436, 0.02259993925690651, 0.01610000617802143, 0.025499961338937283, 0.022000051103532314, 0.021699932403862476, 0.023300061002373695, 0.028399983420968056, 0.013699987903237343, 0.02310005947947502, 0.013200100511312485, 0.02719997428357601, 0.0350000336766243, 0.02610008232295513, 0.023799948394298553, 0.023600063286721706, 0.022699940018355846, 0.02010003663599491, 0.01279998105019331, 0.011899974197149277, 0.012599979527294636]",1.967600081115961,1048576,0.9817000245675445,2.9581000562757254,354476177.2933964,True
1.3,10,1048576,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,1134,1732,8.494799956679344,TLSv1.3,"['TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256]",1048576,"[0.2987000625580549, 0.017799902707338333, 0.013599987141788006, 0.019600032828748226, 0.02589996438473463, 0.020900042727589607, 0.016600009985268116, 0.013999990187585354, 0.03190001007169485, 0.011999974958598614, 0.021600048057734966, 0.013999990187585354, 0.026099965907633305, 0.022499938495457172, 0.023400061763823032, 0.022799940779805183, 0.022600055672228336, 0.02219993621110916, 0.022400054149329662, 0.026899971999228, 0.016300007700920105, 0.015700003132224083, 0.026099965907633305, 0.01850002445280552, 0.02210005186498165, 0.016700010746717453, 0.023400061763823032, 0.0222999369725585, 0.03250001464039087, 0.024000066332519054, 0.02059992402791977, 0.016200006939470768, 0.023900065571069717, 0.019099912606179714, 0.020900042727589607, 0.02329994458705187, 0.02220005262643099, 0.0222999369725585, 0.02280005719512701, 0.024399952962994576, 0.01409999094903469, 0.024700071662664413, 0.024399952962994576, 0.017300015315413475, 0.022999942302703857, 0.018200022168457508, 0.027399975806474686, 0.018600025214254856, 0.013699987903237343, 0.02450007013976574, 0.025399960577487946, 0.01910002902150154, 0.020999927073717117, 0.01650000922381878, 0.015500001609325409, 0.030700000934302807, 0.018200022168457508, 0.012599979527294636, 0.02489995677024126, 0.015300000086426735, 0.04630000330507755, 0.03090000245720148, 0.021200045011937618, 0.020799925550818443]",2.0529000321403146,1048576,1.2526999926194549,3.3161999890580773,316198059.06152064,True
