tls_version,run_index,host,port,ciphers_requested,cert_file,key_file,use_hybrid,client_hello_time_ms,server_hello_time_ms,ecdh_time_ms,mlkem_decapsulation_time_ms,signature_generation_time_ms,key_derivation_time_ms,total_handshake_time_ms,handshake_time_ms,bytes_received,per_recv_call_time_ms,decrypt_time_ms,bytes_sent,encrypt_time_ms,transfer_duration_ms,throughput_bytes_per_sec,success
1.3,1,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.192599996807985,0.20750000840052962,0.5593999958364293,0.7830999966245145,1.5174000000115484,0.5824999971082434,215.9893999923952,215.9893999923952,1048576,"[0.9183999936794862, 0.034900003811344504, 0.03239999932702631, 0.0312999909510836, 0.027300004148855805, 0.034899989259429276, 0.032199997804127634, 0.15020000864751637, 0.05049999163020402, 0.06459999713115394, 0.02680000034160912, 0.03160000778734684, 0.18540000019129366, 0.0315000070258975, 0.02989999484270811, 0.04230000195093453, 0.028399997972883284, 0.02849999873433262, 0.033200005418621004, 0.025300003471784294, 0.016699996194802225, 0.02750000567175448, 0.042100000428035855, 0.029799994081258774, 0.02540000423323363, 0.02239999594166875, 0.029799994081258774, 0.042100000428035855, 0.02609999501146376, 0.028399997972883284, 0.02059999678749591, 0.0295999925583601, 0.024299995857290924, 0.023500004317611456, 0.03750000905711204, 0.01920000067912042, 0.027999994927085936, 0.023300002794712782, 0.025500004994682968, 0.03499999002087861, 0.02200000744778663, 0.024900000425986946, 0.027900008717551827, 0.026900001103058457, 0.02710000262595713, 0.01410000550094992, 0.025000001187436283, 0.022499996703118086, 0.023600005079060793, 0.022100008209235966, 0.01930000144056976, 0.026000008801929653, 0.022799998987466097, 0.11629999789875001, 0.04400000034365803, 0.07429999823216349, 0.0433000095654279, 0.07690000347793102, 0.029300004825927317, 0.11069999891333282, 0.026599998818710446, 0.0281000102404505, 0.02370000584051013, 0.03060000017285347]",8.236399997258559,1048576,8.301199995912611,16.55410000239499,63342374.38751099,True
1.3,2,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.18319999799132347,0.178700007381849,0.41540000529494137,0.8798000053502619,1.5115999995032325,0.41540000529494137,210.0219999992987,210.0219999992987,1048576,"[0.7444999937433749, 0.023500004317611456, 0.021199986804276705, 0.019000013708136976, 0.013999990187585354, 0.020100007532164454, 0.0168999977177009, 0.035200006095692515, 0.05269999383017421, 0.014399993233382702, 0.03480000304989517, 0.03090000245720148, 0.03169999399688095, 0.04710000939667225, 0.013700002455152571, 0.062099992646835744, 0.018000006093643606, 0.05980000423733145, 0.01750000228639692, 0.007199996616691351, 0.06050000956747681, 0.01829999382607639, 0.028399997972883284, 0.032500000088475645, 0.041399995097890496, 0.02510000194888562, 0.031100003980100155, 0.04709999484475702, 0.017999991541728377, 0.007299997378140688, 0.06639999628532678, 0.016999998479150236, 0.031100003980100155, 0.031200004741549492, 0.007800001185387373, 0.06089999806135893, 0.018999999156221747, 0.018999999156221747, 0.021599989850074053, 0.07220001134555787, 0.015099998563528061, 0.08539999544154853, 0.02540000423323363, 0.06009999196976423, 0.017600003047846258, 0.05429999146144837, 0.020099992980249226, 0.03409999771974981, 0.03359999391250312, 0.04549999721348286, 0.013800003216601908, 0.045199994929134846, 0.059600002714432776, 0.054799995268695056, 0.02540000423323363, 0.07760000880807638, 0.02920000406447798, 0.029100003303028643, 0.028299997211433947, 0.029000002541579306, 0.024499997380189598, 0.03229999856557697, 0.03130000550299883, 0.026299996534362435]",6.230800005141646,1048576,5.300000004353933,11.550399998668581,90782656.88814844,True
1.3,3,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.22229999012779444,0.21100000594742596,0.5763999943155795,0.4948999994667247,1.06380000943318,0.5604000034509227,214.55540000170004,214.55540000170004,1048576,"[0.6550999969476834, 0.023900007363408804, 0.021200001356191933, 0.018300008377991617, 0.02710000262595713, 0.0168999977177009, 0.02239999594166875, 0.01720000000204891, 0.020899999071843922, 0.007799986633472145, 0.08900000830180943, 0.035200006095692515, 0.03850000211969018, 0.03160000778734684, 0.08169999637175351, 0.031799994758330286, 0.01920000067912042, 0.021400002879090607, 0.018799997633323073, 0.017400001524947584, 0.05329999839887023, 0.020500010577961802, 0.030099996365606785, 0.0323000131174922, 0.05560000136028975, 0.018099992303177714, 0.02469999890308827, 0.0312999909510836, 0.04700000863522291, 0.01790000533219427, 0.026599998818710446, 0.061400001868605614, 0.018799997633323073, 0.016999998479150236, 0.05950000195298344, 0.014399993233382702, 0.03189999551977962, 0.04810000245925039, 0.017499987734481692, 0.05840000812895596, 0.01340000017080456, 0.02340000355616212, 0.04539999645203352, 0.01820000761654228, 0.058900011936202645, 0.014200006262399256, 0.06410000787582248, 0.01829999382607639, 0.029799994081258774, 0.04460000491235405, 0.013600001693703234, 0.05980000423733145, 0.01750000228639692, 0.03060000017285347, 0.05729999975301325, 0.008899995009414852, 0.03200001083314419, 0.047599998652003706, 0.017700003809295595, 0.03170000854879618, 0.04269999044481665, 0.019500002963468432, 0.058999998145736754, 0.0185999961104244]",5.565300001762807,1048576,4.370300011942163,9.94969999010209,105387700.2365014,True
1.3,4,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1782000035746023,0.1765000051818788,0.4030999989481643,0.9098000009544194,1.8352999904891476,0.39280000783037394,213.1907000002684,213.1907000002684,1048576,"[0.6558000022778288, 0.024499997380189598, 0.020199993741698563, 0.017999991541728377, 0.01829999382607639, 0.013800003216601908, 0.01829999382607639, 0.05200000305194408, 0.018799997633323073, 0.032500000088475645, 0.054199990699999034, 0.020899999071843922, 0.02990000939462334, 0.03399999695830047, 0.03260000084992498, 0.040099999750964344, 0.03099998866673559, 0.062399994931183755, 0.01780000457074493, 0.055500000598840415, 0.008199989679269493, 0.03510000533424318, 0.04780000017490238, 0.018099992303177714, 0.0560000044060871, 0.014000004739500582, 0.05780000356025994, 0.01759998849593103, 0.021700005163438618, 0.06370000483002514, 0.02339998900424689, 0.013199998647905886, 0.05729999975301325, 0.01780000457074493, 0.03200001083314419, 0.05469999450724572, 0.013699987903237343, 0.030499999411404133, 0.05420000525191426, 0.01850000990089029, 0.03340000694151968, 0.040700004319660366, 0.01990000600926578, 0.0560000044060871, 0.017399986973032355, 0.03160000778734684, 0.05570000212173909, 0.020699997548945248, 0.05489999603014439, 0.01780000457074493, 0.05469999450724572, 0.013600001693703234, 0.05570000212173909, 0.017600003047846258, 0.04859999171458185, 0.15730000450275838, 0.04640000406652689, 0.09370000043418258, 0.039099992136470973, 0.08519999391864985, 0.0737000082153827, 0.0703999976394698, 0.025000001187436283, 0.018600010662339628]",6.012100013322197,1048576,4.676500000641681,10.702100000344217,97978527.57554817,True
1.3,5,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.16290000348817557,0.15369999164249748,0.3763000131584704,0.7396000000881031,1.575100002810359,0.35850000858772546,205.5679000040982,205.5679000040982,1048576,"[0.6614000012632459, 0.02820001100189984, 0.020099992980249226, 0.01819999306462705, 0.019700004486367106, 0.016000005416572094, 0.019499988411553204, 0.015600002370774746, 0.019499988411553204, 0.025200002710334957, 0.027400004910305142, 0.07150000601541251, 0.02099999983329326, 0.021400002879090607, 0.026299996534362435, 0.028800001018680632, 0.044500004150904715, 0.01920000067912042, 0.07169999298639596, 0.02160000440198928, 0.01200000406242907, 0.06210000719875097, 0.01720000000204891, 0.02099999983329326, 0.05539999983739108, 0.01649999467190355, 0.03460000152699649, 0.020699997548945248, 0.05869999586138874, 0.017400001524947584, 0.011500000255182385, 0.05640000745188445, 0.023200002033263445, 0.025000001187436283, 0.056500008213333786, 0.008699993486516178, 0.029099988751113415, 0.04609998723026365, 0.016700010746717453, 0.05789998976979405, 0.012600008631125093, 0.02269999822601676, 0.03599999763537198, 0.04880000778939575, 0.021400002879090607, 0.018499995348975062, 0.056500008213333786, 0.022099993657320738, 0.09290000889450312, 0.023600005079060793, 0.011800002539530396, 0.057999990531243384, 0.02239999594166875, 0.0219999928958714, 0.029399991035461426, 0.044800006435252726, 0.02609999501146376, 0.023300002794712782, 0.03359999391250312, 0.05780000356025994, 0.015300000086426735, 0.019500002963468432, 0.05780000356025994, 0.019099999917671084]",5.275100003927946,1048576,4.905000008875504,10.192300003836863,102879232.3229562,True
1.3,6,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.16060000052675605,0.15209999401122332,0.34729999606497586,0.705700003891252,1.1177999986102805,0.3668999997898936,196.63350000337232,196.63350000337232,1048576,"[0.574999998207204, 0.022299995180219412, 0.01920000067912042, 0.01780000457074493, 0.013500000932253897, 0.03290000313427299, 0.04909999552182853, 0.01790000533219427, 0.03399999695830047, 0.03890000516548753, 0.02510000194888562, 0.03369999467395246, 0.045599997974932194, 0.01790000533219427, 0.0391000066883862, 0.03090000245720148, 0.043100008042529225, 0.017699989257380366, 0.06459999713115394, 0.02139998832717538, 0.02920000406447798, 0.02720000338740647, 0.05869999586138874, 0.017999991541728377, 0.04630000330507755, 0.04529999569058418, 0.01750000228639692, 0.02890000178012997, 0.04749999789055437, 0.009100011084228754, 0.03269998705945909, 0.04910001007374376, 0.017600003047846258, 0.031499992473982275, 0.04359999729786068, 0.018799997633323073, 0.04539999645203352, 0.01780000457074493, 0.043799998820759356, 0.013200013199821115, 0.052700008382089436, 0.018100006855092943, 0.03099998866673559, 0.04470000567380339, 0.008799994247965515, 0.05989999044686556, 0.017399986973032355, 0.04889999399892986, 0.017300000763498247, 0.02059999678749591, 0.052799994591623545, 0.017099999240599573, 0.03470000228844583, 0.04610000178217888, 0.017300000763498247, 0.027799993404187262, 0.04890000855084509, 0.018399994587525725, 0.030199997127056122, 0.04769999941345304, 0.013500000932253897, 0.03290000313427299, 0.029000002541579306, 0.031000003218650818]",5.409799996414222,1048576,4.612000004271977,10.034400009317324,104498126.3479986,True
1.3,7,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.24470000062137842,0.3279999946244061,0.5362999945646152,0.6576000014320016,1.3979999930597842,0.4031999997096136,201.3126999954693,201.3126999954693,1048576,"[0.5703000060748309, 0.023300002794712782, 0.020500010577961802, 0.01820000761654228, 0.01750000228639692, 0.012999997125007212, 0.019800005247816443, 0.053099996875971556, 0.01679999695625156, 0.03300000389572233, 0.028399997972883284, 0.0610999995842576, 0.017099999240599573, 0.016300007700920105, 0.05879999662283808, 0.013700002455152571, 0.012199991033412516, 0.05919999966863543, 0.017099999240599573, 0.0577000027988106, 0.0168999977177009, 0.05160000000614673, 0.018700011423788965, 0.05610000516753644, 0.017300000763498247, 0.031799994758330286, 0.044899992644786835, 0.01960000372491777, 0.045199994929134846, 0.01650000922381878, 0.05570000212173909, 0.012500007869675756, 0.04509999416768551, 0.0168999977177009, 0.055500000598840415, 0.01680001150816679, 0.04700000863522291, 0.026599998818710446, 0.029799994081258774, 0.04369999805931002, 0.01649999467190355, 0.03999999898951501, 0.029000002541579306, 0.027600006433203816, 0.04430000262800604, 0.01720000000204891, 0.039300008211284876, 0.030199997127056122, 0.05570000212173909, 0.01650000922381878, 0.05370000144466758, 0.008000002708286047, 0.051399998483248055, 0.016399993910454214, 0.02849999873433262, 0.03170000854879618, 0.039699996705166996, 0.029700007871724665, 0.02989999484270811, 0.044199987314641476, 0.016299993149004877, 0.0467000063508749, 0.02300000051036477, 0.050699993153102696]",5.275099989376031,1048576,4.467599996132776,9.754799990332685,107493336.72029892,True
1.3,8,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.16540000797249377,0.15639999764971435,0.3711000026669353,0.7313999958569184,1.8323999975109473,0.367600005120039,201.36350000393577,201.36350000393577,1048576,"[0.6568999961018562, 0.03989999822806567, 0.04360001184977591, 0.06019999273121357, 0.027000001864507794, 0.03840000135824084, 0.03130000550299883, 0.02920000406447798, 0.1531000016257167, 0.015099998563528061, 0.019499988411553204, 0.020699997548945248, 0.029399991035461426, 0.018000006093643606, 0.008100003469735384, 0.018300008377991617, 0.018100006855092943, 0.015999990864656866, 0.02680000034160912, 0.03700000524986535, 0.020400009816512465, 0.015600002370774746, 0.015699988580308855, 0.01679999695625156, 0.017600003047846258, 0.0236999912885949, 0.01960000372491777, 0.01679999695625156, 0.01619999238755554, 0.01610000617802143, 0.032800002372823656, 0.020499996026046574, 0.01610000617802143, 0.017000013031065464, 0.019000013708136976, 0.013199998647905886, 0.018000006093643606, 0.025000001187436283, 0.0168999977177009, 0.0185999961104244, 0.012599994079209864, 0.01889999839477241, 0.02469999890308827, 0.018699996871873736, 0.01780000457074493, 0.01239999255631119, 0.01720000000204891, 0.016099991626106203, 0.01580000389367342, 0.015700003132224083, 0.011800002539530396, 0.016600009985268116, 0.01579998934175819, 0.015300000086426735, 0.01579998934175819, 0.012299991794861853, 0.017300000763498247, 0.023200002033263445, 0.0509000092279166, 0.0171000137925148, 0.011900003300979733, 0.060999998822808266, 0.016999998479150236, 0.02710000262595713]",4.9122000054921955,1048576,4.425299994181842,9.350199994514696,112144767.02264637,True
1.3,9,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.1581999968038872,0.1497999910498038,0.36979999276809394,0.698099989676848,0.9252000018022954,0.3612000000430271,211.04129999002907,211.04129999002907,1048576,"[0.5773000011686236, 0.018300008377991617, 0.03090000245720148, 0.022799998987466097, 0.018999999156221747, 0.01679999695625156, 0.012599994079209864, 0.05989999044686556, 0.018399994587525725, 0.02819999644998461, 0.01829999382607639, 0.04710000939667225, 0.02510000194888562, 0.020899999071843922, 0.048600006266497076, 0.016699996194802225, 0.016599995433352888, 0.06570000550709665, 0.030399998649954796, 0.04849999095313251, 0.017300000763498247, 0.08400001388508826, 0.02680000034160912, 0.023500004317611456, 0.022599997464567423, 0.021400002879090607, 0.019500002963468432, 0.016000005416572094, 0.02300000051036477, 0.018699996871873736, 0.01889999839477241, 0.030499999411404133, 0.05729999975301325, 0.02239999594166875, 0.021400002879090607, 0.048000001697801054, 0.019800005247816443, 0.02340000355616212, 0.055199998314492404, 0.020399995264597237, 0.01920000067912042, 0.0312999909510836, 0.04060000355821103, 0.02239999594166875, 0.04820000322069973, 0.017699989257380366, 0.029499991796910763, 0.03959999594371766, 0.025599991204217076, 0.05570000212173909, 0.02300000051036477, 0.023899992811493576, 0.044800006435252726, 0.02849999873433262, 0.02720000338740647, 0.05040000542066991, 0.017300000763498247, 0.029699993319809437, 0.05529999907594174, 0.019800005247816443, 0.01580000389367342, 0.055199998314492404, 0.00859999272506684, 0.035299992305226624]",5.163699999684468,1048576,4.429900000104681,9.605599989299662,109162988.37845433,True
1.3,10,127.0.0.1,44330,AESGCM:CHACHA20:AES256:AES128,server_cert.pem,server_key.pem,True,0.17329999536741525,0.18119999731425196,0.34860000596381724,1.1079000105382875,1.0534000030020252,0.5505000008270144,217.63579999969807,217.63579999969807,1048576,"[0.5640000017592683, 0.03369999467395246, 0.03270000161137432, 0.03160000778734684, 0.03139999171253294, 0.09560000034980476, 0.03880000440403819, 0.08690000686328858, 0.037299992982298136, 0.07049999840091914, 0.049300011596642435, 0.09169999975711107, 0.047599998652003706, 0.08709999383427203, 0.03060000017285347, 0.07970001024659723, 0.08779999916441739, 0.031200004741549492, 0.08519999391864985, 0.050000002374872565, 0.07850000110920519, 0.056199991377070546, 0.08420000085607171, 0.05299999611452222, 0.07239999831654131, 0.045199994929134846, 0.08759999764151871, 0.086499989265576, 0.031100003980100155, 0.0864000030560419, 0.04539999645203352, 0.08919999527279288, 0.05089999467600137, 0.08620000153314322, 0.03060000017285347, 0.07930000720079988, 0.08769999840296805, 0.030800001695752144, 0.08589999924879521, 0.05230000533629209, 0.0771000050008297, 0.04959999932907522, 0.08549999620299786, 0.08569999772589654, 0.030700000934302807, 0.0709999876562506, 0.05289999535307288, 0.08660000457894057, 0.04839999019168317, 0.0855999969644472, 0.02929999027401209, 0.08870000601746142, 0.04870000702794641, 0.08670000534038991, 0.03650000144261867, 0.07670000195503235, 0.0754000066081062, 0.05329999839887023, 0.08670000534038991, 0.05870001041330397, 0.06540000322274864, 0.08749999688006938, 0.030000010156072676, 0.0872999953571707]",8.81860000663437,1048576,7.290800000191666,16.122400003951043,65038455.79709164,True
