success,mode,payload_bytes,error_type,error,completed_utc,execution_order,repetition,run_id,client_success,client_endpoint,client_mode,client_payload_bytes,client_tls_version,client_tls_cipher,client_tls_group,client_alpn,client_error_type,client_error,client_tcp_connect_ms,client_tls_handshake_ms,client_tls_exporter_ms,client_pqc_handshake_ms,client_pqc_kem_keygen_ms,client_pqc_signature_sign_ms,client_pqc_signature_verify_ms,client_pqc_encapsulation_ms,client_pqc_decapsulation_ms,client_pqc_kdf_ms,client_channel_ready_ms,client_ping_rtt_ms,client_ping_service_ms,client_upload_send_ms,client_upload_receive_ms,client_download_send_ms,client_download_receive_ms,client_transfer_total_ms,client_throughput_mbps,client_process_cpu_ms,client_handshake_framed_bytes_sent,client_handshake_framed_bytes_received,client_application_framed_bytes_sent,client_application_framed_bytes_received,server_success,server_endpoint,server_mode,server_payload_bytes,server_tls_version,server_tls_cipher,server_tls_group,server_alpn,server_error_type,server_error,server_tcp_connect_ms,server_tls_handshake_ms,server_tls_exporter_ms,server_pqc_handshake_ms,server_pqc_kem_keygen_ms,server_pqc_signature_sign_ms,server_pqc_signature_verify_ms,server_pqc_encapsulation_ms,server_pqc_decapsulation_ms,server_pqc_kdf_ms,server_channel_ready_ms,server_ping_rtt_ms,server_ping_service_ms,server_upload_send_ms,server_upload_receive_ms,server_download_send_ms,server_download_receive_ms,server_transfer_total_ms,server_throughput_mbps,server_process_cpu_ms,server_handshake_framed_bytes_sent,server_handshake_framed_bytes_received,server_application_framed_bytes_sent,server_application_framed_bytes_received
True,native,102400,,,2026-09-05T08:47:09.497602+00:00,1,1,0001-native-102400-r1,True,client,native,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,20.324,3.4739,,,,,,,,,23.8603,0.307,,0.7876,,,0.9582,1.8086,905.8940617051862,0.0,0,0,102640,102588,True,server,native,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,21.0182,,,,,,,,,21.0282,,0.377,,1.0555,0.613,,1.9369,845.8877587898188,0.0,0,0,102588,102640
True,hybrid,1073741824,,,2026-09-05T08:47:17.043790+00:00,2,1,0002-hybrid-1073741824-r1,True,client,hybrid,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,17.5107,2.6166,0.0464,2.4684,,,0.2336,0.2542,,0.1339,22.7025,0.227,,3540.127,,,3399.2559,6939.4684,2475.6751084852554,6718.75,1144,4581,1074479944,1074479867,True,server,hybrid,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,17.2117,0.0591,2.6604,0.2773,0.9225,,,0.0998,0.1225,19.9765,,0.1366,,3540.2704,3399.0893,,6939.5823,2475.634475002912,6531.25,4581,1144,1074479867,1074479944
True,native,1024,,,2026-09-05T08:47:17.646835+00:00,3,1,0003-native-1024-r1,True,client,native,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,17.6886,3.0557,,,,,,,,,20.7667,0.3188,,0.3569,,,0.4068,0.8333,19.661586463458537,0.0,0,0,1244,1192,True,server,native,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,qcomm/baseline/1,,,,17.8749,,,,,,,,,17.8841,,0.3644,,0.5262,0.3089,,1.002,16.35129740518962,15.625,0,0,1192,1244
True,baseline,1024,,,2026-09-05T08:47:18.248278+00:00,4,1,0004-baseline-1024-r1,True,client,baseline,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,15.4302,2.5457,,,,,,,,,17.9961,0.3187,,0.4669,,,0.3718,0.901,18.1842397336293,0.0,0,0,1244,1192,True,server,baseline,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,14.8759,,,,,,,,,14.8845,,0.3977,,0.5798,0.2911,,1.0149,16.143462410089665,0.0,0,0,1192,1244
True,hybrid,1048576,,,2026-09-05T08:47:18.883920+00:00,5,1,0005-hybrid-1048576-r1,True,client,hybrid,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,21.6364,2.4684,0.0434,2.1224,,,0.2203,0.2459,,0.1224,26.3309,0.2984,,4.0431,,,3.943,8.0541,2083.065271104158,0.0,1144,4581,1049641,1049564,True,server,hybrid,1048576,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,21.2502,0.0565,2.3112,0.2445,0.5155,,,0.1069,0.1217,23.6607,,0.136,,4.2414,3.7579,,8.2291,2038.7668153260984,0.0,4581,1144,1049564,1049641
True,baseline,102400,,,2026-09-05T08:47:19.489315+00:00,6,1,0006-baseline-102400-r1,True,client,baseline,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,2.913,2.6671,,,,,,,,,5.607,0.2561,,0.7366,,,0.8856,1.6815,974.3681236990782,15.625,0,0,102640,102588,True,server,baseline,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,2.3272,,,,,,,,,2.3365,,0.4341,,0.911,0.6698,,1.7878,916.433605548719,15.625,0,0,102588,102640
True,baseline,1073741824,,,2026-09-05T08:47:26.222625+00:00,7,1,0007-baseline-1073741824-r1,True,client,baseline,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,4.6379,2.612,,,,,,,,,7.2706,0.1999,,3023.8773,,,3075.0588,6099.0079,2816.830124781442,5515.625,0,0,1074069944,1074069892,True,server,baseline,1073741824,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/baseline/1,,,,4.4228,,,,,,,,,4.4321,,0.3773,,3023.958,3074.9973,,6099.108,2816.783894300609,5562.5,0,0,1074069892,1074069944
True,hybrid,104857600,,,2026-09-05T08:47:27.493256+00:00,8,1,0008-hybrid-104857600-r1,True,client,hybrid,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,7.951,2.5078,0.0548,2.1508,,,0.2317,0.2461,,0.1331,12.732,0.225,,343.3077,,,331.7761,675.1881,2484.821044683696,671.875,1144,4581,104929990,104929913,True,server,hybrid,104857600,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,7.7572,0.0563,2.2715,0.2621,0.5649,,,0.1013,0.1178,10.1279,,0.1436,,343.4379,331.5543,,675.298,2484.416657534896,640.625,4581,1144,104929913,104929990
True,hybrid,1024,,,2026-09-05T08:47:28.092728+00:00,9,1,0009-hybrid-1024-r1,True,client,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,22.8532,2.7461,0.0454,2.5564,,,0.2286,0.2451,,0.1328,28.2669,0.2402,,0.3555,,,0.4369,0.8613,19.02240798792523,0.0,1144,4581,1369,1292,True,server,hybrid,1024,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,22.7843,0.0568,2.7981,0.283,1.0295,,,0.107,0.1174,25.684,,0.1227,,0.4823,0.3411,,1.003,16.334995014955137,0.0,4581,1144,1292,1369
True,hybrid,102400,,,2026-09-05T08:47:28.701587+00:00,10,1,0010-hybrid-102400-r1,True,client,hybrid,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,19.7947,2.7375,0.0441,1.9407,,,0.2301,0.2401,,0.1233,24.577,0.2426,,0.8465,,,1.0175,1.9268,850.3217770396512,0.0,1144,4581,102790,102713,True,server,hybrid,102400,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519,qcomm/hybrid/1,,,,19.6723,0.0798,2.1589,0.3039,0.4009,,,0.1075,0.1136,21.9542,,0.123,,1.1057,0.7184,,2.0643,793.6830886983481,15.625,4581,1144,102713,102790
