mode,payload_bytes,endpoint,metric,attempted,n,mean,median,standard_deviation,ci95_low,ci95_high,minimum,maximum
baseline,1024,client,tcp_connect_ms,16,16,13.395143749999999,16.296999999999997,8.52291498881838,8.853602930060578,17.93668456993942,2.644,27.4615
baseline,1024,client,tls_handshake_ms,16,16,2.56699375,2.49735,0.2789167270441125,2.4183695172232333,2.7156179827767666,2.3391,3.5505
baseline,1024,client,channel_ready_ms,16,16,15.9900375,18.839799999999997,8.50886835255821,11.455981604178923,20.524093395821076,5.0006,29.9325
baseline,1024,client,ping_rtt_ms,16,16,0.24684999999999999,0.24255,0.042876364895670274,0.22400279788197197,0.269697202118028,0.1963,0.3528
baseline,1024,client,upload_send_ms,16,16,0.37479375,0.36415,0.031982901030602785,0.3577512650331632,0.3918362349668368,0.3437,0.4669
baseline,1024,client,download_receive_ms,16,16,0.38665,0.363,0.12684059287152516,0.31906141899137813,0.45423858100862186,0.3187,0.8503
baseline,1024,client,transfer_total_ms,16,16,0.82213125,0.7834,0.14721927735524312,0.7436836345458988,0.9005788654541012,0.7322,1.3488
baseline,1024,client,throughput_mbps,16,16,20.334347430119156,20.914537629415083,2.4514670383720167,19.02805285389623,21.64064200634208,12.14709371293001,22.376399890740238
baseline,1024,client,process_cpu_ms,16,16,3.90625,0.0,6.987712429686843,0.18276087931118656,7.629739120688813,0.0,15.625
baseline,1024,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1024,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1024,client,application_framed_bytes_sent,16,16,1244.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0
baseline,1024,client,application_framed_bytes_received,16,16,1192.0,1192.0,0.0,1192.0,1192.0,1192.0,1192.0
baseline,1024,server,tls_handshake_ms,16,16,12.9294375,15.860299999999999,8.660075215983982,8.314809154095347,17.544065845904655,2.088,27.1293
baseline,1024,server,channel_ready_ms,16,16,12.9385,15.8689,8.659668741547412,8.324088249033622,17.552911750966377,2.097,27.1379
baseline,1024,server,ping_service_ms,16,16,0.3661,0.36175,0.026700337076523962,0.35187239466799053,0.38032760533200943,0.3276,0.4384
baseline,1024,server,upload_receive_ms,16,16,0.48924999999999996,0.47109999999999996,0.09419904458114212,0.43905487230885054,0.5394451276911494,0.4099,0.8077
baseline,1024,server,download_send_ms,16,16,0.30226875,0.2889,0.04631320501037833,0.2775901850568083,0.3269473149431916,0.2789,0.4695
baseline,1024,server,transfer_total_ms,16,16,0.92030625,0.8886000000000001,0.15432313055728228,0.8380732583760971,1.0025392416239027,0.8135,1.4606
baseline,1024,server,throughput_mbps,16,16,18.13682237296287,18.439842146743494,2.16130502085619,16.98514422183312,19.288500524092623,11.217307955634672,20.140135218192995
baseline,1024,server,process_cpu_ms,16,16,5.859375,0.0,9.674049802607662,0.7044377361284102,11.01431226387159,0.0,31.25
baseline,1024,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1024,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1024,server,application_framed_bytes_sent,16,16,1192.0,1192.0,0.0,1192.0,1192.0,1192.0,1192.0
baseline,1024,server,application_framed_bytes_received,16,16,1244.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0
baseline,102400,client,tcp_connect_ms,16,16,9.14686875,5.7655,7.7723546796509275,5.005273287533038,13.28846421246696,2.5346,25.4995
baseline,102400,client,tls_handshake_ms,16,16,2.50016875,2.4734,0.12881223398808053,2.431529555600906,2.5688079443990937,2.315,2.7263
baseline,102400,client,channel_ready_ms,16,16,11.67155,8.3133,7.794779257169506,7.518005323642704,15.825094676357295,4.8709,28.0052
baseline,102400,client,ping_rtt_ms,16,16,0.23670625,0.2244,0.025297311286643354,0.22322626433855283,0.2501862356614472,0.2053,0.2776
baseline,102400,client,upload_send_ms,16,16,0.72755,0.7273499999999999,0.024505781630736318,0.7144917907198978,0.7406082092801023,0.6723,0.7809
baseline,102400,client,download_receive_ms,16,16,0.88673125,0.86705,0.08058708514189274,0.8437894234990906,0.9296730765009094,0.7901,1.0898
baseline,102400,client,transfer_total_ms,16,16,1.673575,1.65985,0.08674589327455218,1.6273513763002045,1.7197986236997955,1.5609,1.8859
baseline,102400,client,throughput_mbps,16,16,981.3040520393164,987.113333264755,47.86777034606731,955.7971177015506,1006.8109863770821,868.7629248634605,1049.6508424626818
baseline,102400,client,process_cpu_ms,16,16,10.7421875,15.625,11.00241154910292,4.879416225901983,16.604958774098016,0.0,31.25
baseline,102400,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,102400,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,102400,client,application_framed_bytes_sent,16,16,102640.0,102640.0,0.0,102640.0,102640.0,102640.0,102640.0
baseline,102400,client,application_framed_bytes_received,16,16,102588.0,102588.0,0.0,102588.0,102588.0,102588.0,102588.0
baseline,102400,server,tls_handshake_ms,16,16,8.6834,5.36165,7.789987324422721,4.532408764361577,12.834391235638424,2.0222,25.1675
baseline,102400,server,channel_ready_ms,16,16,8.6920875,5.3697,7.790245820415425,4.540958521570031,12.843216478429968,2.0302,25.1758
baseline,102400,server,ping_service_ms,16,16,0.359875,0.35535,0.028936747110436128,0.34445569588037395,0.37529430411962605,0.3147,0.4341
baseline,102400,server,upload_receive_ms,16,16,0.9332125,0.9255,0.04595752930695903,0.9087234612609132,0.9577015387390868,0.8668,1.0371
baseline,102400,server,download_send_ms,16,16,0.60605,0.594,0.0387147861503414,0.5854203466633571,0.6266796533366429,0.5652,0.7084
baseline,102400,server,transfer_total_ms,16,16,1.77249375,1.7485,0.08842662094452476,1.7253745297431116,1.8196129702568884,1.6565,1.9881
baseline,102400,server,throughput_mbps,16,16,926.4219299495472,937.0350792323443,44.43280384623246,902.7453600580526,950.0984998410419,824.1034153211609,989.0733474192575
baseline,102400,server,process_cpu_ms,16,16,6.8359375,0.0,8.005430285905936,2.5701448137747382,11.10173018622526,0.0,15.625
baseline,102400,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,102400,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,102400,server,application_framed_bytes_sent,16,16,102588.0,102588.0,0.0,102588.0,102588.0,102588.0,102588.0
baseline,102400,server,application_framed_bytes_received,16,16,102640.0,102640.0,0.0,102640.0,102640.0,102640.0,102640.0
baseline,1048576,client,tcp_connect_ms,16,16,10.9314875,11.3679,7.698280904710696,6.829363166016592,15.033611833983407,2.6274,23.6171
baseline,1048576,client,tls_handshake_ms,16,16,2.581575,2.5594,0.1391109461305376,2.5074480092719345,2.6557019907280655,2.3741,2.8796
baseline,1048576,client,channel_ready_ms,16,16,13.54130625,13.95465,7.7704391853115355,9.400731482417843,17.681881017582157,5.1509,26.4744
baseline,1048576,client,ping_rtt_ms,16,16,0.236625,0.23615,0.024469995232256722,0.2235858599455919,0.2496641400544081,0.2005,0.2893
baseline,1048576,client,upload_send_ms,16,16,3.39599375,3.3865499999999997,0.06377764988614748,3.3620090392833326,3.4299784607166677,3.2457,3.5346
baseline,1048576,client,download_receive_ms,16,16,3.4680625,3.4186,0.5717528357311982,3.1633969195271208,3.772728080472879,2.9641,5.4796
baseline,1048576,client,transfer_total_ms,16,16,6.9256875,6.845549999999999,0.5878373866697039,6.612451067330021,7.23892393266998,6.2795,8.9875
baseline,1048576,client,throughput_mbps,16,16,2435.962044554483,2450.8261401712807,170.79471880866868,2344.9519631073154,2526.9721260016504,1866.727788595271,2671.74392865674
baseline,1048576,client,process_cpu_ms,16,16,10.7421875,15.625,9.407495764681482,5.7292868568796,15.7550881431204,0.0,31.25
baseline,1048576,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1048576,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1048576,client,application_framed_bytes_sent,16,16,1049116.0,1049116.0,0.0,1049116.0,1049116.0,1049116.0,1049116.0
baseline,1048576,client,application_framed_bytes_received,16,16,1049064.0,1049064.0,0.0,1049064.0,1049064.0,1049064.0,1049064.0
baseline,1048576,server,tls_handshake_ms,16,16,10.57151875,11.09545,7.816368966062503,6.40646972984052,14.736567770159478,2.0748,23.5103
baseline,1048576,server,channel_ready_ms,16,16,10.5804375,11.1043,7.816759511449315,6.415180372893711,14.745694627106289,2.0833,23.5204
baseline,1048576,server,ping_service_ms,16,16,0.37540625,0.3604,0.05466230229021338,0.3462787651560746,0.4045337348439254,0.2933,0.4975
baseline,1048576,server,upload_receive_ms,16,16,3.5294875,3.50435,0.07692185536850585,3.488498736582805,3.5704762634171954,3.3692,3.6962
baseline,1048576,server,download_send_ms,16,16,3.32825,3.2821,0.5542265036366751,3.032923542671669,3.623576457328331,2.8167,5.2685
baseline,1048576,server,transfer_total_ms,16,16,7.0222375,6.92695,0.5918348011340102,6.70687099551918,7.33760400448082,6.3718,9.0814
baseline,1048576,server,throughput_mbps,16,16,2402.3670409648794,2422.023535762697,168.34340032142157,2312.663174936628,2492.070906993131,1847.426167771489,2633.0418406101885
baseline,1048576,server,process_cpu_ms,16,16,12.6953125,15.625,8.498525454208709,8.166767945675627,17.223857054324373,0.0,31.25
baseline,1048576,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1048576,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1048576,server,application_framed_bytes_sent,16,16,1049064.0,1049064.0,0.0,1049064.0,1049064.0,1049064.0,1049064.0
baseline,1048576,server,application_framed_bytes_received,16,16,1049116.0,1049116.0,0.0,1049116.0,1049116.0,1049116.0,1049116.0
baseline,104857600,client,tcp_connect_ms,16,16,12.2721375,13.27815,8.142852693159812,7.933117581902002,16.611157418097996,2.5823,23.6468
baseline,104857600,client,tls_handshake_ms,16,16,2.58008125,2.5284,0.1638669672579966,2.49276270677644,2.6673997932235602,2.368,2.8779
baseline,104857600,client,channel_ready_ms,16,16,14.8832375,16.1051,8.177763897779963,10.525614714096365,19.240860285903636,5.0283,26.0362
baseline,104857600,client,ping_rtt_ms,16,16,0.25021875,0.25434999999999997,0.03267288822556096,0.23280859680987936,0.2676289031901206,0.193,0.2952
baseline,104857600,client,upload_send_ms,16,16,293.39438125,289.83815,12.102536508749935,286.94539476457743,299.84336773542253,280.0978,322.057
baseline,104857600,client,download_receive_ms,16,16,302.3132125,297.09114999999997,20.087029540472958,291.6095900035806,313.01683499641945,259.3584,337.9132
baseline,104857600,client,transfer_total_ms,16,16,595.78993125,588.2057500000001,25.134164032347655,582.3968806238098,609.1829818761902,549.2867,635.3907
baseline,104857600,client,throughput_mbps,16,16,2820.654058046513,2852.27026153946,118.75875460452603,2757.371984663261,2883.936131429765,2640.4566513170553,3054.3641417132435
baseline,104857600,client,process_cpu_ms,16,16,550.78125,554.6875,30.45873232752801,534.5509372055443,567.0115627944557,500.0,609.375
baseline,104857600,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,104857600,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,104857600,client,application_framed_bytes_sent,16,16,104889840.0,104889840.0,0.0,104889840.0,104889840.0,104889840.0,104889840.0
baseline,104857600,client,application_framed_bytes_received,16,16,104889788.0,104889788.0,0.0,104889788.0,104889788.0,104889788.0,104889788.0
baseline,104857600,server,tls_handshake_ms,16,16,11.8758625,13.19695,8.30055865661061,7.452807005869703,16.2989179941303,2.0684,23.2291
baseline,104857600,server,channel_ready_ms,16,16,11.884825,13.20635,8.300385904562912,7.461861558938092,16.307788441061906,2.0766,23.2372
baseline,104857600,server,ping_service_ms,16,16,0.3679625,0.36355000000000004,0.02932070656265523,0.3523385983303876,0.38358640166961244,0.3206,0.4314
baseline,104857600,server,upload_receive_ms,16,16,293.5257375,289.97950000000003,12.092819893577357,287.08192863332596,299.969546366674,280.2544,322.1797
baseline,104857600,server,download_send_ms,16,16,302.20065625,296.9576,20.097528947044495,291.49143901473917,312.90987348526085,259.2282,337.801
baseline,104857600,server,transfer_total_ms,16,16,595.902575,588.33385,25.1377917620595,582.5075912930984,609.2975587069016,549.3933,635.521
baseline,104857600,server,throughput_mbps,16,16,2820.1205567870984,2851.6492587474086,118.73372109152606,2756.8518228213234,2883.3892907528734,2639.9152821071216,3053.771496667324
baseline,104857600,server,process_cpu_ms,16,16,543.9453125,546.875,26.2814481760265,529.9409173071418,557.9497076928582,500.0,593.75
baseline,104857600,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,104857600,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,104857600,server,application_framed_bytes_sent,16,16,104889788.0,104889788.0,0.0,104889788.0,104889788.0,104889788.0,104889788.0
baseline,104857600,server,application_framed_bytes_received,16,16,104889840.0,104889840.0,0.0,104889840.0,104889840.0,104889840.0,104889840.0
baseline,524288000,client,tcp_connect_ms,16,16,11.81396875,12.54815,7.714050915026747,7.703441170686191,15.924496329313811,2.4971,23.1567
baseline,524288000,client,tls_handshake_ms,16,16,2.5505875,2.5054,0.187816711627764,2.450507038838139,2.6506679611618607,2.3424,2.9689
baseline,524288000,client,channel_ready_ms,16,16,14.3947875,15.0372,7.800105717392553,10.23840455333724,18.55117044666276,5.0585,26.0581
baseline,524288000,client,ping_rtt_ms,16,16,0.244525,0.23695,0.020802547920867772,0.23344010467189757,0.2556098953281024,0.2101,0.2816
baseline,524288000,client,upload_send_ms,16,16,1440.508725,1442.2597,30.18391972066142,1424.4248495070492,1456.5926004929506,1390.383,1498.3039
baseline,524288000,client,download_receive_ms,16,16,1438.9563,1471.716,77.16180554603424,1397.8396761585923,1480.0729238414078,1198.8961,1505.7756
baseline,524288000,client,transfer_total_ms,16,16,2879.543975,2896.42645,88.07680748304102,2832.6111571789893,2926.476792821011,2623.2758,3001.482
baseline,524288000,client,throughput_mbps,16,16,2915.8518937292533,2896.256753903811,93.54700153416063,2866.0042152521473,2965.6995722063593,2794.8220245865214,3197.76060145868
baseline,524288000,client,process_cpu_ms,16,16,2707.03125,2734.375,84.3364109286928,2662.0915488129835,2751.9709511870165,2515.625,2812.5
baseline,524288000,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,524288000,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,524288000,client,application_framed_bytes_sent,16,16,524448320.0,524448320.0,0.0,524448320.0,524448320.0,524448320.0,524448320.0
baseline,524288000,client,application_framed_bytes_received,16,16,524448268.0,524448268.0,0.0,524448268.0,524448268.0,524448268.0,524448268.0
baseline,524288000,server,tls_handshake_ms,16,16,11.4359375,12.116299999999999,7.843109179645106,7.256639625818321,15.61523537418168,2.1211,22.9425
baseline,524288000,server,channel_ready_ms,16,16,11.4448375,12.1249,7.843237425780675,7.265471288276477,15.624203711723524,2.13,22.9519
baseline,524288000,server,ping_service_ms,16,16,0.36499375,0.3658,0.028542143548327504,0.3497847152761571,0.3802027847238429,0.3267,0.4414
baseline,524288000,server,upload_receive_ms,16,16,1440.6662375,1442.41475,30.127598770471245,1424.6123733229715,1456.7201016770287,1390.7296,1498.4235
baseline,524288000,server,download_send_ms,16,16,1438.8224125,1471.62185,77.18183221829581,1397.6951171982194,1479.9497078017805,1198.7882,1505.6979
baseline,524288000,server,transfer_total_ms,16,16,2879.68091875,2896.5365,87.99388233342302,2832.792288622106,2926.569548877894,2623.8082,3001.5997
baseline,524288000,server,throughput_mbps,16,16,2915.707515034355,2896.146668608331,93.43519779068446,2865.919412566805,2965.4956175019047,2794.712432840395,3197.111740103564
baseline,524288000,server,process_cpu_ms,16,16,2713.8671875,2718.75,74.76498552060204,2674.027738897091,2753.706636102909,2515.625,2828.125
baseline,524288000,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,524288000,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,524288000,server,application_framed_bytes_sent,16,16,524448268.0,524448268.0,0.0,524448268.0,524448268.0,524448268.0,524448268.0
baseline,524288000,server,application_framed_bytes_received,16,16,524448320.0,524448320.0,0.0,524448320.0,524448320.0,524448320.0,524448320.0
baseline,1073741824,client,tcp_connect_ms,16,16,11.937243749999999,13.59155,8.965806927132938,7.159702474897466,16.714785025102533,2.5043,25.8373
baseline,1073741824,client,tls_handshake_ms,16,16,2.577,2.5255,0.24823338749383947,2.444725764758401,2.709274235241599,2.3049,3.3394
baseline,1073741824,client,channel_ready_ms,16,16,14.54071875,16.2344,9.121633303615367,9.68014346006256,19.40129403993744,4.8266,28.3835
baseline,1073741824,client,ping_rtt_ms,16,16,0.23750625,0.22360000000000002,0.03616697330899191,0.21823423029407327,0.25677826970592676,0.1999,0.3111
baseline,1073741824,client,upload_send_ms,16,16,3000.0868812500003,2971.0481,130.12514433532678,2930.748086310157,3069.4256761898437,2871.9899,3451.9805
baseline,1073741824,client,download_receive_ms,16,16,2938.7580625,2895.4958500000002,92.6768931016491,2889.37403207866,2988.14209292134,2849.8718,3147.6913
baseline,1073741824,client,transfer_total_ms,16,16,5938.921375,5885.6942,158.00939270000163,5854.724112933869,6023.118637066131,5769.7378,6322.4632
baseline,1073741824,client,throughput_mbps,16,16,2894.6326896860382,2918.9267442970527,75.13809441549013,2854.5944253870157,2934.670953985061,2717.2746824370597,2977.582306079836
baseline,1073741824,client,process_cpu_ms,16,16,5604.4921875,5585.9375,159.00884716443454,5519.7623537428635,5689.2220212571365,5343.75,6015.625
baseline,1073741824,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1073741824,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1073741824,client,application_framed_bytes_sent,16,16,1074069944.0,1074069944.0,0.0,1074069944.0,1074069944.0,1074069944.0,1074069944.0
baseline,1073741824,client,application_framed_bytes_received,16,16,1074069892.0,1074069892.0,0.0,1074069892.0,1074069892.0,1074069892.0,1074069892.0
baseline,1073741824,server,tls_handshake_ms,16,16,11.535,13.3284,9.107684816827307,6.681857334018972,16.38814266598103,2.0269,25.6031
baseline,1073741824,server,channel_ready_ms,16,16,11.5452125,13.3371,9.108629997965298,6.6915661825422115,16.39885881745779,2.0349,25.6117
baseline,1073741824,server,ping_service_ms,16,16,0.38075,0.36085,0.07281428431290113,0.3419500066977599,0.4195499933022401,0.3253,0.6183
baseline,1073741824,server,upload_receive_ms,16,16,3000.20105,2971.14005,130.12561627429096,2930.862003581634,3069.5400964183664,2872.1218,3452.1006
baseline,1073741824,server,download_send_ms,16,16,2938.64579375,2895.36855,92.65840196845953,2889.271616558018,2988.0199709419817,2849.7444,3147.5899
baseline,1073741824,server,transfer_total_ms,16,16,5939.03385625,5885.811949999999,158.0140989229293,5854.834086414689,6023.233626085311,5769.826,6322.5889
baseline,1073741824,server,throughput_mbps,16,16,2894.577910273136,2918.8683917976546,75.13758230813906,2854.5399188568585,2934.615901689413,2717.220660036904,2977.5367894976384
baseline,1073741824,server,process_cpu_ms,16,16,5566.40625,5531.25,156.61415897570265,5482.952455505771,5649.860044494229,5343.75,5921.875
baseline,1073741824,server,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1073741824,server,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1073741824,server,application_framed_bytes_sent,16,16,1074069892.0,1074069892.0,0.0,1074069892.0,1074069892.0,1074069892.0,1074069892.0
baseline,1073741824,server,application_framed_bytes_received,16,16,1074069944.0,1074069944.0,0.0,1074069944.0,1074069944.0,1074069944.0,1074069944.0
native,1024,client,tcp_connect_ms,16,16,15.14680625,14.6898,6.925489375581459,11.456473454410244,18.837139045589755,2.734,27.2612
native,1024,client,tls_handshake_ms,16,16,3.10025,3.0287499999999996,0.24390212517865986,2.970283731531748,3.230216268468252,2.7558,3.7028
native,1024,client,channel_ready_ms,16,16,18.27624375,17.7337,7.026747845290285,14.531954124599016,22.02053337540098,5.616,30.6138
native,1024,client,ping_rtt_ms,16,16,0.24358125,0.2313,0.03792090397568778,0.2233746266134554,0.26378787338654464,0.2051,0.324
native,1024,client,upload_send_ms,16,16,0.3650875,0.35835,0.022264856463344498,0.35322339545231524,0.3769516045476848,0.348,0.4221
native,1024,client,download_receive_ms,16,16,0.35060625,0.3361,0.03701532058936318,0.3308821779377673,0.3703303220622327,0.3157,0.434
native,1024,client,transfer_total_ms,16,16,0.7721750000000001,0.7617,0.04311793903547185,0.7491990721093473,0.7951509278906528,0.7174,0.8515
native,1024,client,throughput_mbps,16,16,21.278832064069405,21.514026180180267,1.163276156328213,20.658965955377965,21.898698172760845,19.241338813857897,22.83802620574296
native,1024,client,process_cpu_ms,16,16,4.8828125,0.0,9.407495764681482,-0.13008814312039974,9.8957131431204,0.0,31.25
native,1024,client,handshake_framed_bytes_sent,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,1024,client,handshake_framed_bytes_received,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native,1024,client,application_framed_bytes_sent,16,16,1244.0,1244.0,0.0,1244.0,1244.0,1244.0,1244.0
native,1024,client,application_framed_bytes_received,16,16,1192.0,1192.0,0.0,1192.0,1192.0,1192.0,1192.0
native,1024,server,tls_handshake_ms,16,16,15.3138125,14.64335,7.0637689872451705,11.54979570055006,19.077829299449938,2.5955,27.7749
native,1024,server,channel_ready_ms,16,16,15.3231,14.65285,7.063894555460654,11.559016289971105,19.087183710028896,2.6037,27.7839
native,1024,server,ping_service_ms,16,16,0.3698625,0.3618,0.05648750746846599,0.3397624319691398,0.39996256803086017,0.2975,0.5653
native,1024,server,upload_receive_ms,16,16,0.46358125,0.45289999999999997,0.03184460642453181,0.44661245702697905,0.48055004297302095,0.4283,0.5262
